City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
429,teluk nibung,3.001,99.8164,30.13,62,91,0.8,ID,1675917008
430,esna,25.2934,32.554,7.01,44,100,1.97,EG,1675917012
431,ashland,40.8167,-82.2665,6.3,80,100,2.94,US,1675917031
432,pinotepa nacional,16.3167,-98.0167,21.41,66,3,1.33,MX,1675917033
433,waipawa,-41.4122,175.5153,13.69,75,97,4.23,NZ,1675917034
434,taltal,-25.4,-70.4833,20.58,83,34,0.91,CL,1675916833
435,beringovskiy,63.05,179.3167,-32.29,94,23,2.31,RU,1675917034
436,bayonne,43.3333,-1.4167,2.35,93,0,1.54,FR,1675917036
437,evensk,61.95,159.2333,-23.13,75,37,5.23,RU,1675916792
438,charters towers,-20.1,146.2667,31.28,45,83,5.76,AU,1675917037
439,oistins,13.0667,-59.5333,25.05,78,20,8.75,BB,1675917038
440,nosy varika,-20.5833,48.5333,24.88,85,99,0.48,MG,1675917038
441,popondetta,-8.7537,148.2534,30.19,68,100,2.46,PG,1675917039
442,sambava,-14.2667,50.1667,24.5,86,60,3.27,MG,1675916824
443,upata,8.0086,-62.3989,21.77,89,16,2.14,VE,1675916842
444,eyl,7.9803,49.8164,24.8,72,37,7.09,SO,1675917040
445,arlit,18.7369,7.3853,20.05,19,0,2.68,NE,1675917040
446,san quintin,30.4833,-115.95,14.24,50,3,2.25,MX,1675917041
447,alta floresta,-9.8756,-56.0861,21.11,97,61,0.7,BR,1675917041
448,bosobolo,4.1833,19.9,20.08,26,21,1.42,CD,1675917042
449,prado,-17.3411,-39.2208,23.77,89,29,2.84,BR,1675917042
450,kavadarci,41.4331,22.0119,-4.47,67,37,0.73,MK,1675917043
451,mitu,1.1983,-70.1733,21.54,98,95,0.31,CO,1675916872
452,luganville,-15.5333,167.1667,28.39,74,100,2.6,VU,1675917044
453,da nang,16.0678,108.2208,27.99,74,40,3.6,VN,1675917044
454,yazman,29.1212,71.7446,22.13,22,90,1.95,PK,1675917045
455,basudebpur,21.1353,86.7386,27.73,26,0,4.41,IN,1675917045
456,boone,39.0334,-92.3335,5.23,96,100,0.45,US,1675917046
457,vernon,50.2581,-119.2691,1.8,66,98,4.12,CA,1675916885
458,kisangani,0.5167,25.2,20.29,93,56,1.03,CD,1675917047
459,atambua,-9.1061,124.8925,25.57,84,99,3.65,ID,1675917047
460,chute-aux-outardes,49.1168,-68.399,-13.01,61,0,4.63,CA,1675917048
461,berlevag,70.8578,29.0864,1.97,87,75,13.38,NO,1675916753
462,kilimatinde,-5.85,34.95,17.91,95,100,0.33,TZ,1675917048
463,fereydun kenar,36.6864,52.5225,6.12,93,100,0.0,IR,1675917050
464,springbok,-29.6643,17.8865,19.17,59,39,1.67,ZA,1675917050
465,sao joao da barra,-21.6403,-41.0511,22.7,93,100,3.9,BR,1675917051
466,jaque,7.5175,-78.1703,25.36,88,25,2.46,PA,1675917051
467,coleraine,55.1333,-6.6667,4.59,80,62,5.86,GB,1675917052
468,kasongo-lunda,-6.4667,16.8167,20.74,95,98,0.33,CD,1675917053
469,anadyr,64.75,177.4833,-34.72,73,0,5.0,RU,1675917054
470,gurgentepe,40.7883,37.6017,-6.06,82,79,2.73,TR,1675917054
471,shuyskoye,59.3736,41.0305,-4.51,97,100,2.42,RU,1675917055
472,clearwater,27.9659,-82.8001,21.14,71,0,5.81,US,1675916853
473,hambantota,6.1241,81.1185,29.19,74,20,5.14,LK,1675917056
474,sattahip,12.6664,100.9007,33.32,74,20,3.6,TH,1675917056
475,clemencia,10.5665,-75.325,24.65,79,7,5.51,CO,1675917057
476,gafargaon,24.4333,90.5667,26.51,40,0,2.06,BD,1675917057
477,kathmandu,27.7167,85.3167,14.35,69,20,1.03,NP,1675916813
478,balakhta,55.38,91.6,-13.41,93,100,1.24,RU,1675916786
479,kurilsk,45.2333,147.8833,-8.39,74,100,8.52,RU,1675916808
480,puerto boyaca,5.9758,-74.5885,22.28,97,46,0.85,CO,1675917058
481,ayan,56.45,138.1667,-23.53,65,62,1.33,RU,1675917059
482,santander jimenez,24.2167,-98.4667,17.17,51,100,1.5,MX,1675917059
483,syracuse,37.0881,15.2792,8.65,89,100,16.13,IT,1675917060
484,mundwa,27.0667,73.8167,24.08,19,4,5.39,IN,1675917060
485,mukhen,48.1,136.1,-17.01,64,19,3.5,RU,1675917061
486,meadow lake,34.8014,-106.5436,5.06,52,3,2.43,US,1675917063
487,labuan,5.2767,115.2417,31.2,58,20,1.54,MY,1675917064
488,ranfurly,-45.1333,170.1,16.17,50,49,6.46,NZ,1675917068
489,port keats,-14.25,129.55,32.18,60,79,2.05,AU,1675917070
490,dhidhdhoo,6.8833,73.1,26.56,73,96,2.58,MV,1675917072
491,porto novo,6.4965,2.6036,27.9,90,63,0.91,BJ,1675916789
492,bereda,43.2686,-7.5406,1.9,98,68,2.12,ES,1675917076
493,alta gracia,-31.6529,-64.4283,22.71,57,84,1.8,AR,1675917088
494,hay river,60.8156,-115.7999,-13.01,78,40,5.14,CA,1675917092
495,portland,45.5234,-122.6762,8.23,80,75,2.24,US,1675916999
496,kingisepp,59.3733,28.6134,-0.69,85,97,5.17,RU,1675917094
497,cartagena,10.3997,-75.5144,24.79,83,0,2.57,CO,1675917094
498,porto murtinho,-21.6989,-57.8825,24.75,80,0,1.15,BR,1675916846
499,torgau,51.5667,13.0,-2.5,81,2,2.7,DE,1675917095
